100 100000 0.95 reinforce cheb_reinforce 30000000
283 18102 -0.0413311477685 1.64872193582e-05 -34.9406094942 -11.7488787779
284 17522 -0.0414741839269 1.62879599738e-05 -34.898275135 -11.7348929294
285 17307 -0.041616367062 1.57494948945e-05 -34.856320209 -11.7355320653
286 18055 -0.0417509714698 1.60182415674e-05 -34.8167177215 -11.7521682008
287 18328 -0.0418868484992 1.61707061173e-05 -34.7768548787 -11.776772805
288 18320 -0.0420240508199 1.62196112382e-05 -34.7367190228 -11.7247211704
289 18221 -0.0421620400621 1.63473180571e-05 -34.6964698261 -11.7690371883
290 17889 -0.0423023993343 1.63619926777e-05 -34.6556490407 -11.723808534
291 17537 -0.0424442877935 1.60339062507e-05 -34.6145056966 -11.7932874857
292 17774 -0.0425824015464 1.65628170658e-05 -34.5745743695 -11.7483381742
293 17073 -0.0427279702086 1.60347768102e-05 -34.5326125689 -11.7239280009
294 17302 -0.0428679619531 1.61138641027e-05 -34.4923787435 -11.7337491381
295 17394 -0.0430082720773 1.56804720852e-05 -34.4521713146 -11.7502494214
296 18274 -0.0431414830448 1.6590501127e-05 -34.4141069901 -11.7492797472
297 17504 -0.0432854883505 1.61881001433e-05 -34.3730768938 -11.7416853074
298 17465 -0.0434261580284 1.5985594225e-05 -34.3331157004 -11.6931710794
299 17788 -0.0435638012303 1.62170906768e-05 -34.2941271448 -11.7420704303
300 17697 -0.0437037990836 1.6500900978e-05 -34.2545856614 -11.6665511099
301 17106 -0.0438486832082 1.54253779977e-05 -34.2137846651 -11.7320378019
302 18443 -0.0439791229643 1.68472200519e-05 -34.17715584 -11.7552361068
303 17212 -0.0441265915847 1.4988602824e-05 -34.1358638443 -11.7588771815
304 19402 -0.0442501677534 1.66889574423e-05 -34.101358486 -11.7007523949
305 18400 -0.0443914570687 1.61987119453e-05 -34.0620147062 -11.717019683
306 18340 -0.0445288228757 1.63755426483e-05 -34.0238729883 -11.7644802059
307 17955 -0.0446691683387 1.64105173286e-05 -33.9850149586 -11.7313499397
308 17516 -0.0448115657777 1.64878214324e-05 -33.9457030031 -11.7087285744
309 16954 -0.0449569846479 1.5768018954e-05 -33.9056751313 -11.7311334636
310 17654 -0.0450932712785 1.57834070124e-05 -33.8682689688 -11.7015842493
311 18354 -0.0452270634997 1.69255163178e-05 -33.8316486398 -11.7496751392
312 16994 -0.0453761667414 1.56643440427e-05 -33.7909551614 -11.6873028319
313 17883 -0.0455106874267 1.62235481339e-05 -33.7543475352 -11.7112861248
314 17779 -0.0456504142907 1.5552732508e-05 -33.7164291021 -11.7151914666
315 18922 -0.0457802559392 1.6686409772e-05 -33.681289675 -11.7269074705
316 17950 -0.0459232857828 1.57398616886e-05 -33.6426881394 -11.6972820651
317 18744 -0.046055311855 1.65087104221e-05 -33.6071555551 -11.7346233827
318 18104 -0.0461962137845 1.63167759439e-05 -33.569338803 -11.739014008
319 17830 -0.0463365452477 1.58725783621e-05 -33.5317820833 -11.7316309253
320 18370 -0.0464710353213 1.58648338085e-05 -33.4958884108 -11.6845128729
321 18941 -0.0466034172129 1.61401394841e-05 -33.460652321 -11.7162471252
322 18991 -0.0467379172215 1.69576515626e-05 -33.4249485268 -11.7451397188
323 17527 -0.046885016188 1.61109638384e-05 -33.3860106821 -11.6909935971
324 17626 -0.047024377197 1.56875438838e-05 -33.3492270834 -11.6980973046
325 18504 -0.0471568158356 1.67158081069e-05 -33.3143657644 -11.6952171597
326 17501 -0.0473019230551 1.60005426121e-05 -33.2762757687 -11.6894713931
327 17798 -0.0474396576653 1.66644691422e-05 -33.24022319 -11.6846561396
328 16921 -0.0475867771336 1.50953302985e-05 -33.201823499 -11.6884594951
329 18867 -0.0477129834657 1.68664365313e-05 -33.1689720478 -11.7218836085
330 17574 -0.0478590941728 1.5694834667e-05 -33.131042531 -11.7026057601
331 18436 -0.0479918394118 1.60790365713e-05 -33.0966780914 -11.7388406728
332 18600 -0.0481272325347 1.64248531441e-05 -33.0617214399 -11.6465930274
333 18118 -0.0482673632525 1.59556333804e-05 -33.0256403923 -11.7247953032
334 18510 -0.0484020449818 1.62687719887e-05 -32.9910566785 -11.6670875723
335 18319 -0.0485400840788 1.60892853901e-05 -32.9557064069 -11.7236881031
336 18463 -0.0486760661584 1.58789577217e-05 -32.9209771143 -11.7045874063
337 19009 -0.0488083265976 1.63462599479e-05 -32.8872876497 -11.7010358476
338 18665 -0.0489457295801 1.68867774254e-05 -32.8523812069 -11.6597712585
339 17350 -0.049092957656 1.5253414135e-05 -32.8150834371 -11.7004207397
340 19037 -0.0492199172012 1.6836397735e-05 -32.7830069726 -11.6786583317
341 17786 -0.0493648941178 1.56447795458e-05 -32.7464760945 -11.688030181
342 18753 -0.0494960909008 1.64909975268e-05 -32.7135069331 -11.6929932275
343 18145 -0.0496366815533 1.53121041525e-05 -32.6782710744 -11.667987106
344 19790 -0.0497616791926 1.69032659959e-05 -32.6470245554 -11.6951060741
345 18365 -0.0499049205769 1.57788950812e-05 -32.6113112534 -11.6852397161
346 19102 -0.050036029805 1.65445806644e-05 -32.578710182 -11.6832904629
347 18383 -0.0501761630214 1.59655627973e-05 -32.5439572454 -11.6396571499
348 18761 -0.0503100211383 1.65700268858e-05 -32.5108489576 -11.7040282739
349 18008 -0.0504518224464 1.55629210813e-05 -32.4758698832 -11.6543630135
