100 100000 0.95 gpomdp sample_bernstein 30000000
342 169 -0.0669518674252 2.1640664583e-05 -28.9738033968 -11.3374879065
343 185 -0.0671381576026 1.96874049586e-05 -28.939803427 -11.6239791878
344 224 -0.0672778612437 2.41103222601e-05 -28.9143759211 -11.5770078059
345 202 -0.0674760811809 2.05192671822e-05 -28.878400236 -11.3568538154
346 232 -0.0676289941603 2.86622359126e-05 -28.8507292264 -11.3372196195
347 149 -0.0678820999808 2.09914861849e-05 -28.8050830828 -11.7032304998
348 166 -0.068061330268 2.01943038966e-05 -28.7728767823 -11.5556953605
349 198 -0.0682224793551 1.65383848833e-05 -28.7440018319 -11.6469585941
350 296 -0.0683613100136 2.78147863965e-05 -28.7191881736 -11.2930925182
351 205 -0.0685872350388 1.79799760591e-05 -28.6789304847 -11.5499664682
352 282 -0.0687266320423 2.82838233384e-05 -28.6541667362 -11.3750799921
353 186 -0.0689605850648 1.37127598781e-05 -28.6127340165 -11.6649583481
354 339 -0.0690607201496 2.62446095392e-05 -28.5950493955 -11.6297645179
355 258 -0.0692683748101 2.58990363953e-05 -28.5584694822 -11.3950308573
356 205 -0.0694838210062 2.35578625185e-05 -28.5206498002 -11.1277418545
357 198 -0.0696885807231 2.00512753391e-05 -28.48483072 -11.4267428031
358 238 -0.0698429994245 2.38954298284e-05 -28.4578979094 -11.1160363207
