100 100000 0.75 gpomdp bernstein 30000000
124 3648 0.0320250962979 2.62393726406e-05 -129.830880219 -12.4266874625
125 3665 0.0322932858173 2.64919053578e-05 -131.352568951 -12.4625537283
126 3615 0.0325688289565 2.57219232377e-05 -132.955499531 -12.5440635401
127 3736 0.0328276489959 2.67964631057e-05 -134.499002659 -12.4949031963
128 3628 0.0331043910635 2.64915848482e-05 -136.191522539 -12.424480405
129 3584 0.0333817868846 2.5963081042e-05 -137.933457241 -12.4970695937
130 3654 0.0336485220298 2.67966596334e-05 -139.65305148 -12.4055494615
131 3553 0.0339306356263 2.61383491546e-05 -141.521322891 -12.475995269
132 3584 0.0342045247518 2.58407111299e-05 -143.385861633 -12.4701282591
133 3687 0.0344671157273 2.63142554494e-05 -145.222376686 -12.4849832097
134 3686 0.0347345782539 2.66970811336e-05 -147.144206341 -12.5340045968
135 3607 0.0350113031015 2.60851886002e-05 -149.189323237 -12.5577241009
136 3647 0.0352802348522 2.63621565452e-05 -151.234520044 -12.5088463364
137 3634 0.0355522112664 2.63098823802e-05 -153.363240693 -12.5451463179
138 3632 0.0358237553761 2.62628192775e-05 -155.551835829 -12.5518576053
139 3637 0.0360948922891 2.60777842535e-05 -157.803069322 -12.4619329342
140 3684 0.0363605553173 2.63652174292e-05 -160.075655467 -12.4614965638
141 3667 0.0366304888324 2.6624731549e-05 -162.455625461 -12.4928401287
142 3597 0.0369079969356 2.61577663943e-05 -164.980353914 -12.4972312737
143 3629 0.0371782055613 2.63211015575e-05 -167.518306202 -12.6053876958
144 3630 0.0374495523075 2.62191086982e-05 -170.149908897 -12.6446826531
145 3643 0.0377198982887 2.61089173165e-05 -172.858581172 -12.5521581935
146 3680 0.0379864698383 2.65565817161e-05 -175.618501926 -12.555555926
147 3619 0.0382620473326 2.62927052878e-05 -178.569408248 -12.5805631918
148 3614 0.0385354702749 2.66272277713e-05 -181.60059662 -12.5352262085
149 3546 0.0388167454373 2.62497673295e-05 -184.832098808 -12.560108921
150 3560 0.0390929296361 2.63015663038e-05 -188.123070388 -12.5343519109
151 3554 0.0393710422368 2.5717959693e-05 -191.561832145 -12.5741951998
152 3678 0.0396335106574 2.63635767105e-05 -194.928524542 -12.6192841175
153 3656 0.0399047032726 2.67738294818e-05 -198.537999611 -12.4730227444
154 3551 0.0401875546178 2.62599465825e-05 -202.452687142 -12.5201316629
155 3562 0.0404637144741 2.65189929515e-05 -206.431570136 -12.6052439329
156 3513 0.0407471099512 2.59981999894e-05 -210.685941884 -12.5797999423
157 3581 0.0410190470947 2.61868663291e-05 -214.941746416 -12.5343451403
158 3603 0.041291756646 2.63630912857e-05 -219.391266663 -12.5823986385
159 3586 0.0415677736608 2.62831644939e-05 -224.092094168 -12.5042474307
160 3590 0.041842308376 2.64567568314e-05 -228.977847389 -12.6020827261
161 3554 0.042121641412 2.61052792358e-05 -234.179039923 -12.6124058004
162 3602 0.0423928845055 2.64620388637e-05 -239.467313713 -12.7321141711
163 3571 0.0426703763829 2.63602267393e-05 -245.137367645 -12.5778369737
164 3562 0.0429475257853 2.57687043761e-05 -251.082295088 -12.6832119432
165 3664 0.0432125938185 2.7010392373e-05 -257.051475358 -12.5782549421
166 3511 0.0435009150039 2.60394844868e-05 -263.883587839 -12.5753954382
167 3571 0.0437739084726 2.6404762558e-05 -270.704436176 -12.5437071063
168 3556 0.0440515817866 2.63658356427e-05 -278.022743085 -12.6626175838
169 3543 0.0443305371768 2.62907122183e-05 -285.794107233 -12.7042623578
170 3543 0.0446090917578 2.62897514447e-05 -294.010561854 -12.7058148052
171 3542 0.0448878192094 2.66768296325e-05 -302.729927654 -12.6093043492
172 3469 0.0451754786914 2.58695652693e-05 -312.300348174 -12.6887021574
173 3555 0.0454488534276 2.64215364339e-05 -321.985910689 -12.639253856
