100 100000 0.75 gpomdp iter_bernstein 20000000
244 686 -0.000457300400396 2.18373398107e-07 -56.2449558215 -12.065270979
245 694 -0.000459369813922 2.49818452236e-07 -56.2430635909 -12.3897572344
246 701 -0.000461750602345 2.109259e-07 -56.2408868236 -12.2184055653
247 673 -0.000463796539397 1.98063245047e-07 -56.239016365 -12.3096774017
248 679 -0.000465676714972 1.69955117175e-07 -56.2372975748 -11.8482524168
249 672 -0.000467286930201 1.84202555996e-07 -56.2358256673 -12.132709636
250 696 -0.000468985594197 2.09527079954e-07 -56.2342730029 -12.0232755576
251 669 -0.000471010708728 1.92930296232e-07 -56.2324220729 -12.2675398025
252 669 -0.000472864036188 1.96899155048e-07 -56.2307282752 -12.1117401005
253 712 -0.000474650517313 1.97761050356e-07 -56.2290956791 -12.1272685648
254 691 -0.000476507520837 2.0854714939e-07 -56.2273987491 -12.1884792688
255 741 -0.000478346976605 1.94376171283e-07 -56.2257179685 -12.1164669415
256 689 -0.000480162881095 2.18547245619e-07 -56.2240588191 -11.9022231775
257 702 -0.000482199392529 1.85637237377e-07 -56.2221982382 -12.1901516539
258 722 -0.000483864120864 2.06400747774e-07 -56.2206774263 -12.103005123
259 664 -0.000485869785999 1.95894490669e-07 -56.2188452754 -12.1479038398
260 730 -0.000487615119234 2.04003297255e-07 -56.2172510445 -11.9472140692
261 648 -0.00048963774871 1.83432675919e-07 -56.2154036523 -12.1820215612
262 661 -0.000491422381798 2.16863263081e-07 -56.213773751 -12.0374920394
263 660 -0.000493574839505 1.88901830774e-07 -56.2118080587 -12.1833328808
264 683 -0.000495362202687 1.93593509086e-07 -56.2101759005 -12.1192522067
265 721 -0.000497095593033 2.23010084183e-07 -56.2085931309 -12.1309004748
266 713 -0.000499159948553 2.15618615886e-07 -56.2067082865 -12.3049473607
267 693 -0.000501181690838 1.9824477109e-07 -56.2048624885 -12.1000654001
268 670 -0.00050308785957 2.1255374465e-07 -56.2031223318 -12.1855801896
269 721 -0.000505016416476 2.25685297293e-07 -56.201361861 -12.0510826597
270 660 -0.000507255619798 1.8384013473e-07 -56.1993179751 -12.1263547036
271 650 -0.000509086047005 1.91851516663e-07 -56.1976473343 -12.1947492921
272 698 -0.00051088102629 2.07849359423e-07 -56.1960091562 -11.935564683
273 682 -0.000512851721765 2.14945320798e-07 -56.1942107362 -12.1756349657
274 678 -0.000514931977651 1.63314242243e-07 -56.1923124747 -12.004227441
275 726 -0.000516366065244 2.21152871619e-07 -56.1910039351 -12.2837490721
276 703 -0.000518417941406 1.86733098976e-07 -56.1891318114 -12.2737470966
277 697 -0.000520156063974 2.35692270466e-07 -56.1875460658 -12.2123656403
278 670 -0.000522486257647 1.91066804061e-07 -56.1854203134 -12.0994469839
279 699 -0.00052426018949 2.08875530545e-07 -56.1838021409 -12.0808984762
280 675 -0.000526263951311 2.71338216937e-07 -56.1819744454 -12.0811068832
281 688 -0.000528917830183 2.39370056849e-07 -56.1795539644 -12.2413479472
282 736 -0.000531068760055 1.80980277896e-07 -56.1775923734 -12.0268921355
283 712 -0.000532710633898 1.79911510707e-07 -56.1760951323 -12.1958995377
284 666 -0.00053445345149 2.55145460049e-07 -56.1745059385 -12.2283641594
285 650 -0.000537054940009 1.69958196321e-07 -56.1721339521 -12.1827107002
286 666 -0.000538684856917 1.93805191247e-07 -56.1706479413 -12.267009338
287 683 -0.00054053041992 2.31177289195e-07 -56.1689654314 -12.4349465733
288 696 -0.000542725634973 2.09827781983e-07 -56.1669643092 -12.093996989
289 674 -0.000544757789407 1.98537717355e-07 -56.1651119743 -11.9791334543
290 681 -0.000546648686686 1.93579390906e-07 -56.1633885214 -12.1173042926
291 679 -0.000548494777143 2.01475961483e-07 -56.161706023 -12.0227743821
292 711 -0.000550351465725 1.92129248879e-07 -56.1600139808 -12.0879538289
293 694 -0.000552130390012 1.94591568281e-07 -56.1583929151 -12.0800251655
294 663 -0.000554025390254 1.85983654091e-07 -56.1566661905 -12.1392936391
295 726 -0.00055569192526 1.99440212656e-07 -56.1551477427 -12.1965739251
296 666 -0.000557620369426 2.05441514786e-07 -56.153390775 -12.1512554773
297 655 -0.000559662378787 2.15747742044e-07 -56.1515304758 -12.0715573906
298 699 -0.000561686805421 2.07645193363e-07 -56.1496863325 -12.090512299
299 668 -0.000563709473755 2.11984328273e-07 -56.1478439279 -12.1196493902
300 662 -0.000565801521987 1.88484284299e-07 -56.1459384706 -12.1781217788
301 678 -0.000567594106938 2.15643631656e-07 -56.1443058838 -12.1075438337
302 684 -0.000569646635561 2.04729367052e-07 -56.1424366867 -12.1563090311
303 688 -0.000571582022851 2.03364763176e-07 -56.140674297 -12.2044883843
304 724 -0.000573416529182 2.55080862412e-07 -56.1390038865 -12.2903977136
305 702 -0.000575826695334 1.6998702647e-07 -56.1368094797 -12.0820279796
306 668 -0.000577463698128 1.97278738211e-07 -56.135319133 -12.2276940759
307 651 -0.00057942198056 1.85748679002e-07 -56.1335364073 -12.0747553271
308 654 -0.00058126642783 1.89421220474e-07 -56.1318574288 -12.0835503431
309 679 -0.000583080759128 2.02847065937e-07 -56.1302059755 -12.1924553979
310 772 -0.000584802958555 2.100510741e-07 -56.1286384848 -11.9898083643
