10 500000 0.95 gpomdp sample_bernstein 30000000

487 4000  0.01 194.93825
488 4000  0.01 194.984
489 4000  0.01 194.68275
490 4000  0.01 193.21475
491 4000  0.01 194.0115
492 4000  0.01 192.784
493 4000  0.01 194.832
494 4000  0.01 193.9395
495 4000  0.01 193.74675
496 4000  0.01 191.74
497 4000  0.01 192.6215
498 4000  0.01 191.3805
499 4000  0.01 194.61475
500 4000  0.01 194.55125
501 4000  0.01 195.003
502 4000  0.01 194.89
503 4000  0.01 194.9635
504 4000  0.01 195.34775
505 4000  0.01 194.1425
506 4000  0.01 193.28975
507 4000  0.01 192.792
508 4000  0.01 190.886
509 4000  0.01 192.66625
510 4000  0.01 192.78275
511 4000  0.01 193.91525
512 4000  0.01 193.3545
513 4000  0.01 194.58525
514 4000  0.01 193.11
515 4000  0.01 193.70025
516 4000  0.01 192.075
517 4000  0.01 194.598
518 4000  0.01 194.7585
519 4000  0.01 194.15675
520 4000  0.01 193.1575
521 4000  0.01 192.97275
522 4000  0.01 193.081
523 4000  0.01 194.63825
524 4000  0.01 193.97675
525 4000  0.01 193.61625
526 4000  0.01 191.64475
527 4000  0.01 193.7445
528 4000  0.01 190.41375
529 4000  0.01 191.86575
530 4000  0.01 191.779
531 4000  0.01 194.65375
532 4000  0.01 193.9395
533 4000  0.01 194.49475
534 4000  0.01 194.17925
535 4000  0.01 195.5935
536 4000  0.01 195.55875
537 4000  0.01 195.2345
538 4000  0.01 194.05825
539 4000  0.01 193.6985
540 4000  0.01 193.49925
541 4000  0.01 192.75675
542 4000  0.01 191.9145
543 4000  0.01 193.07475
544 4000  0.01 193.20775
545 4000  0.01 192.87125
546 4000  0.01 192.47125
547 4000  0.01 193.31025
548 4000  0.01 192.85425
549 4000  0.01 195.4535
550 4000  0.01 194.7895
551 4000  0.01 194.26625
552 4000  0.01 192.31075
553 4000  0.01 193.1855
554 4000  0.01 191.17775
555 4000  0.01 192.608
556 4000  0.01 190.26925
557 4000  0.01 193.5805
558 4000  0.01 192.32275
559 4000  0.01 192.5555
560 4000  0.01 191.48575
561 4000  0.01 194.102
562 4000  0.01 192.263
563 4000  0.01 192.6725
564 4000  0.01 191.962
565 4000  0.01 194.28275
566 4000  0.01 193.56325
567 4000  0.01 191.48925
568 4000  0.01 192.54575
569 4000  0.01 194.289
570 4000  0.01 192.6025
571 4000  0.01 193.43975
572 4000  0.01 192.4395
573 4000  0.01 192.554
574 4000  0.01 191.2945
575 4000  0.01 193.68225
576 4000  0.01 192.0805
577 4000  0.01 193.28275
578 4000  0.01 193.30175
579 4000  0.01 194.11875
580 4000  0.01 193.8255
581 4000  0.01 193.98575
582 4000  0.01 193.4435
583 4000  0.01 193.06575
584 4000  0.01 192.84
585 4000  0.01 194.499
586 4000  0.01 193.40125
587 4000  0.01 191.93375
588 4000  0.01 190.86625
589 4000  0.01 192.92
590 4000  0.01 191.461
591 4000  0.01 192.32475
592 4000  0.01 190.564
593 4000  0.01 193.2785
594 4000  0.01 191.42625
595 4000  0.01 193.28575
596 4000  0.01 190.94725
597 4000  0.01 193.723
598 4000  0.01 194.02475
599 4000  0.01 193.241
600 4000  0.01 193.56825
601 4000  0.01 191.118
602 4000  0.01 190.31775
603 4000  0.01 194.93275
604 4000  0.01 194.838
605 4000  0.01 195.04675
606 4000  0.01 194.0725
607 4000  0.01 192.6045
608 4000  0.01 191.00475
609 4000  0.01 191.11825
610 4000  0.01 192.51325
611 4000  0.01 193.59625
612 4000  0.01 193.34875
613 4000  0.01 193.43175
614 4000  0.01 191.66625
615 4000  0.01 193.4995
616 4000  0.01 193.354
617 4000  0.01 194.83275
618 4000  0.01 193.775
619 4000  0.01 193.633
620 4000  0.01 191.85275
621 4000  0.01 193.6485
622 4000  0.01 193.1735
623 4000  0.01 194.88875
624 4000  0.01 193.26675
625 4000  0.01 194.3225
626 4000  0.01 193.17125
627 4000  0.01 193.01675
628 4000  0.01 192.4905
629 4000  0.01 193.74975
630 4000  0.01 192.8345
631 4000  0.01 192.82
632 4000  0.01 191.26425
633 4000  0.01 192.6895
