100 100000 0.95 gpomdp sample_bernstein 30000000

1 100 [-0.5 -0.  -0.  -0.5] 2.73701022428e-06 -26.6650121788 -19.8531404361
150 4370 [ -5.00620206e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 5.66627171685e-06 -26.6649838865 -19.2567465193
151 4583 [ -5.00627392e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 5.41866148466e-06 -26.6617282304 -19.4213982083
152 5163 [ -5.00633762e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 5.73747308702e-06 -26.6618908163 -19.3203739878
153 5504 [ -5.00641026e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 6.46475793966e-06 -26.6615460868 -19.2852632354
154 4633 [ -5.00649174e-01  -0.00000000e+00  -3.85127703e-06  -5.00473589e-01] 6.04613501878e-06 -26.6610354669 -19.2971306851
155 4435 [ -5.00649174e-01  -0.00000000e+00  -3.85127703e-06  -5.00481639e-01] 5.63644413533e-06 -26.6629771524 -19.281180105
156 4716 [ -5.00649174e-01  -0.00000000e+00  -3.85127703e-06  -5.00488720e-01] 5.67499795304e-06 -26.6643228835 -19.2863403578
157 4988 [ -5.00649174e-01  -0.00000000e+00  -3.85127703e-06  -5.00495818e-01] 6.04128560516e-06 -26.6622112133 -19.3671069913
158 4679 [ -5.00649174e-01  -0.00000000e+00  -3.85127703e-06  -5.00503478e-01] 6.3384986513e-06 -26.6653806347 -19.2146391557
159 4001 [ -5.00649174e-01  -0.00000000e+00  -3.85127703e-06  -5.00511637e-01] 5.82246955881e-06 -26.6614596636 -19.3283266042
160 4036 [ -5.00649174e-01  -0.00000000e+00  -3.85127703e-06  -5.00519394e-01] 5.94150427173e-06 -26.662689123 -19.3201413627
161 3907 [ -5.00657019e-01  -0.00000000e+00  -3.85127703e-06  -5.00519394e-01] 4.58252445614e-06 -26.6618755314 -19.3749367249
162 5476 [ -5.00662367e-01  -0.00000000e+00  -3.85127703e-06  -5.00519394e-01] 6.86617582839e-06 -26.6619501782 -19.355093579
163 4161 [ -5.00671721e-01  -0.00000000e+00  -3.85127703e-06  -5.00519394e-01] 5.74173345024e-06 -26.6638465391 -19.2415872846
164 4315 [ -5.00671721e-01  -0.00000000e+00  -3.85127703e-06  -5.00527191e-01] 5.9090795636e-06 -26.6638763429 -19.3169827194
165 4297 [ -5.00679430e-01  -0.00000000e+00  -3.85127703e-06  -5.00527191e-01] 5.91255789658e-06 -26.6635183338 -19.2796074259
166 4232 [ -5.00687099e-01  -0.00000000e+00  -3.85127703e-06  -5.00527191e-01] 5.50152046777e-06 -26.6614191914 -19.2763068373
167 4668 [ -5.00694022e-01  -0.00000000e+00  -3.85127703e-06  -5.00527191e-01] 5.92859205854e-06 -26.6637538463 -19.2308051238
168 4481 [ -5.00694022e-01  -0.00000000e+00  -3.85127703e-06  -5.00534483e-01] 5.98407221561e-06 -26.6611098461 -19.2529338247
169 4262 [ -5.00694022e-01  -0.00000000e+00  -3.85127703e-06  -5.00542231e-01] 5.71075475086e-06 -26.6637113111 -19.3490863402
