100 100000 0.95 gpomdp sample_bernstein 1000000

1 1000 [-0.5 -0.  -0.  -0.5] 1e-06 -426.666666667 -19.0814533373
122 1000 [ -5.00145139e-01  -2.87512178e-06  -2.62107891e-06  -5.00146698e-01] 1e-06 -426.652621799 -19.1200998194
123 1000 [ -5.00146791e-01  -2.62902799e-06  -2.91136574e-06  -5.00148004e-01] 1e-06 -426.652479586 -19.3442690621
124 1000 [ -5.00147828e-01  -2.82373388e-06  -2.52345997e-06  -5.00149332e-01] 1e-06 -426.65236591 -19.2069431412
125 1000 [ -5.00148512e-01  -3.29106220e-06  -2.11498223e-06  -5.00150397e-01] 1e-06 -426.652281828 -19.3048537647
126 1000 [ -5.00149635e-01  -3.50504676e-06  -2.27894105e-06  -5.00151370e-01] 1e-06 -426.652181033 -19.1678308071
127 1000 [ -5.00151033e-01  -3.80928356e-06  -1.98505630e-06  -5.00152693e-01] 1e-06 -426.652050218 -19.2629551368
128 1000 [ -5.00152135e-01  -3.58916581e-06  -1.84410864e-06  -5.00153937e-01] 1e-06 -426.651937436 -19.3570534046
129 1000 [ -5.00152997e-01  -3.35404020e-06  -1.43640224e-06  -5.00155299e-01] 1e-06 -426.651830499 -19.360047313
130 1000 [ -5.00154126e-01  -3.63614605e-06  -1.55620613e-06  -5.00156916e-01] 1e-06 -426.651698542 -19.3679449722
131 1000 [ -5.00155419e-01  -4.05824117e-06  -1.70337031e-06  -5.00158558e-01] 1e-06 -426.651557382 -19.2553254847
132 1000 [ -5.00156752e-01  -4.16017664e-06  -1.46475917e-06  -5.00159485e-01] 1e-06 -426.651448755 -19.1541914379
133 1000 [ -5.00157693e-01  -4.05447571e-06  -1.22004612e-06  -5.00160674e-01] 1e-06 -426.651346406 -19.282350955
134 1000 [ -5.00158915e-01  -4.28773542e-06  -1.39286040e-06  -5.00161971e-01] 1e-06 -426.651225283 -19.1977330963
135 1000 [ -5.00159660e-01  -4.57356118e-06  -8.18432615e-07  -5.00162766e-01] 1e-06 -426.651151281 -19.5953169369
136 1000 [ -5.00160625e-01  -4.57892546e-06  -6.71790629e-07  -5.00163625e-01] 1e-06 -426.651063606 -19.3351436973
137 1000 [ -5.00162028e-01  -4.58802461e-06  -7.77663148e-07  -5.00164801e-01] 1e-06 -426.650939623 -19.3600020908
138 1000 [ -5.00163195e-01  -4.12272135e-06  -5.38902436e-07  -5.00165863e-01] 1e-06 -426.650832485 -19.3836585051
139 1000 [ -5.00164904e-01  -3.79927850e-06  -5.97466771e-07  -5.00166979e-01] 1e-06 -426.650696699 -19.2733611074
140 1000 [ -5.00165977e-01  -3.95592922e-06  -7.43523986e-07  -5.00168564e-01] 1e-06 -426.650568902 -19.1547293688
141 1000 [ -5.00167406e-01  -3.99596171e-06  -8.01703733e-07  -5.00170275e-01] 1e-06 -426.650418013 -19.3757762187
142 1000 [ -5.00168731e-01  -4.15933006e-06  -9.95674251e-07  -5.00171572e-01] 1e-06 -426.650292 -19.3684670189
143 1000 [ -5.00169893e-01  -4.13144151e-06  -7.63359809e-07  -5.00172401e-01] 1e-06 -426.6501963 -19.3184945285
144 1000 [ -5.00171222e-01  -4.22010975e-06  -7.52077028e-07  -5.00173476e-01] 1e-06 -426.650080708 -19.191050216
145 1000 [ -5.00172236e-01  -4.12753643e-06  -5.50510273e-07  -5.00174535e-01] 1e-06 -426.649981055 -19.192661354
146 1000 [ -5.00173446e-01  -4.26330707e-06  -5.79703873e-07  -5.00175549e-01] 1e-06 -426.649874157 -19.4587528209
147 1000 [ -5.00175002e-01  -4.07212831e-06  -6.31767156e-07  -5.00176417e-01] 1e-06 -426.649757695 -19.1782921243
148 1000 [ -5.00176362e-01  -3.97890331e-06  -8.54730971e-07  -5.00177479e-01] 1e-06 -426.649641261 -19.1019153488
149 1000 [ -5.00177595e-01  -3.55568258e-06  -3.64021811e-07  -5.00178996e-01] 1e-06 -426.649509131 -19.1714925546
150 1000 [ -5.00178800e-01  -3.32522442e-06  -5.61503939e-07  -5.00180109e-01] 1e-06 -426.64939773 -19.260212805
151 1000 [ -5.00180002e-01  -3.65569299e-06  -3.95675754e-07  -5.00181436e-01] 1e-06 -426.649276203 -19.2219899741
152 1000 [ -5.00181334e-01  -3.60817238e-06  -4.17812320e-08  -5.00182272e-01] 1e-06 -426.649172019 -19.2235386607
153 1000 [ -5.00182696e-01  -3.51666768e-06  -4.26916212e-08  -5.00183234e-01] 1e-06 -426.64906031 -19.2780122694
154 1000 [ -5.00183984e-01  -3.74129499e-06  -1.24654300e-07  -5.00184181e-01] 1e-06 -426.648952914 -19.2849211508
155 1000 [ -5.00184788e-01  -3.75429191e-06   4.52851281e-07  -5.00185326e-01] 1e-06 -426.648859288 -19.4214100599
156 1000 [ -5.00186168e-01  -3.35888373e-06   8.59145134e-07  -5.00186165e-01] 1e-06 -426.648752617 -19.3606729102
157 1000 [ -5.00187094e-01  -3.67608364e-06   7.95918176e-07  -5.00187298e-01] 1e-06 -426.64865368 -19.3009126027
158 1000 [ -5.00188048e-01  -3.51623815e-06   4.92321633e-07  -5.00188688e-01] 1e-06 -426.648541047 -19.5050903788
159 1000 [ -5.00188952e-01  -3.47445424e-06   5.48118142e-07  -5.00189535e-01] 1e-06 -426.648456907 -19.4791583656
160 1000 [ -5.00190225e-01  -3.09272113e-06   6.81862417e-07  -5.00190560e-01] 1e-06 -426.648346493 -19.3274775656
161 1000 [ -5.00191537e-01  -3.04980702e-06   7.33346856e-07  -5.00191801e-01] 1e-06 -426.648223814 -19.3282802309
162 1000 [ -5.00193015e-01  -3.24746950e-06   7.99184957e-07  -5.00192505e-01] 1e-06 -426.648118946 -19.290618255
163 1000 [ -5.00194002e-01  -3.52554365e-06   6.01961922e-07  -5.00193817e-01] 1e-06 -426.648008509 -19.2536834887
